"Date","Close","Open","High","Low","Volume","Change %"
"01/09/2019","23,879.12","23,844.27","23,985.45","23,776.56","324.57M","0.39%"
"01/08/2019","23,787.45","23,680.32","23,864.65","23,581.45","317.42M","1.09%"
"01/07/2019","23,531.35","23,474.26","23,687.74","23,301.59","334.20M","0.42%"
"01/04/2019","23,433.16","22,894.92","23,518.64","22,894.92","396.02M","3.29%"
"01/03/2019","22,686.22","23,176.39","23,176.39","22,638.41","424.24M","-2.83%"
"01/02/2019","23,346.24","23,058.61","23,413.47","22,928.59","321.57M","0.08%"
"12/31/2018","23,327.46","23,153.94","23,333.18","23,118.30","288.83M","1.15%"
"12/28/2018","23,062.40","23,213.61","23,381.88","22,981.33","336.51M","-0.33%"
"12/27/2018","23,138.82","22,629.06","23,138.89","22,267.42","407.94M","1.14%"
"12/26/2018","22,878.45","21,857.73","22,878.92","21,712.53","433.08M","4.98%"
"12/24/2018","21,792.20","22,317.28","22,339.87","21,792.20","308.42M","-2.91%"
"12/21/2018","22,445.37","22,871.74","23,254.59","22,396.34","900.51M","-1.81%"
"12/20/2018","22,859.60","23,224.12","23,282.20","22,644.31","576.70M","-1.99%"
"12/19/2018","23,323.66","23,693.33","24,057.34","23,162.64","503.55M","-1.49%"
"12/18/2018","23,675.64","23,769.13","23,927.77","23,516.02","408.07M","0.35%"
"12/17/2018","23,592.98","23,986.83","24,088.08","23,456.88","466.74M","-2.11%"
"12/14/2018","24,100.51","24,408.04","24,431.14","24,033.79","416.94M","-2.02%"
"12/13/2018","24,597.38","24,575.86","24,740.96","24,473.29","299.97M","0.29%"
"12/12/2018","24,527.27","24,509.09","24,828.29","24,509.09","344.33M","0.64%"
"12/11/2018","24,370.24","24,719.91","24,791.26","24,221.06","342.96M","-0.22%"
"12/10/2018","24,423.26","24,360.95","24,500.81","23,881.37","389.69M","0.14%"
"12/07/2018","24,388.95","24,918.82","25,095.62","24,284.78","398.23M","-2.24%"
"12/06/2018","24,947.67","24,737.42","24,951.01","24,242.22","471.69M","-0.32%"
"12/04/2018","25,027.07","25,752.56","25,773.12","25,008.11","418.90M","-3.10%"
"12/03/2018","25,826.43","25,779.57","25,980.21","25,670.51","388.48M","1.13%"
"11/30/2018","25,538.46","25,307.14","25,549.71","25,250.97","482.25M","0.79%"
"11/29/2018","25,338.84","25,343.65","25,479.04","25,202.79","305.11M","-0.11%"
"11/28/2018","25,366.43","24,832.84","25,368.93","24,832.84","362.16M","2.50%"
"11/27/2018","24,748.73","24,557.02","24,750.73","24,416.03","308.25M","0.44%"
"11/26/2018","24,640.24","24,364.13","24,673.29","24,364.13","306.28M","1.46%"
"11/23/2018","24,285.95","24,336.40","24,408.80","24,268.74","155.94M","-0.73%"
"11/21/2018","24,464.69","24,541.65","24,669.79","24,463.28","289.37M","0.00%"
"11/20/2018","24,465.64","24,618.68","24,707.26","24,368.98","445.92M","-2.21%"
"11/19/2018","25,017.44","25,392.61","25,392.61","24,900.98","358.09M","-1.56%"
"11/16/2018","25,413.22","25,242.35","25,510.23","25,147.80","354.46M","0.49%"
"11/15/2018","25,289.27","25,061.48","25,354.56","24,787.79","392.75M","0.83%"
"11/14/2018","25,080.50","25,388.08","25,501.29","24,935.82","384.24M","-0.81%"
"11/13/2018","25,286.49","25,321.21","25,511.03","25,193.78","339.69M","-0.40%"
"11/12/2018","25,387.18","25,959.33","25,966.71","25,340.51","346.91M","-2.32%"
"11/09/2018","25,989.30","26,149.11","26,161.49","25,882.91","324.45M","-0.77%"
"11/08/2018","26,191.22","26,139.59","26,277.82","26,081.90","295.65M","0.04%"
"11/07/2018","26,180.30","25,788.46","26,200.14","25,765.88","361.78M","2.13%"
"11/06/2018","25,635.01","25,452.83","25,651.86","25,444.90","265.45M","0.68%"
"11/05/2018","25,461.70","25,261.47","25,507.35","25,261.47","334.74M","0.76%"
"11/02/2018","25,270.83","25,443.60","25,578.98","25,078.72","429.48M","-0.43%"
"11/01/2018","25,380.74","25,142.08","25,396.47","25,108.11","383.97M","1.06%"
"10/31/2018","25,115.76","25,008.82","25,336.55","25,008.82","448.93M","0.97%"
"10/30/2018","24,874.64","24,482.04","24,906.68","24,415.69","470.05M","1.77%"
"10/29/2018","24,442.92","24,818.98","25,040.58","24,122.23","443.85M","-0.99%"
"10/26/2018","24,688.31","24,770.25","24,916.16","24,445.19","505.31M","-1.19%"
"10/25/2018","24,984.55","24,736.54","25,104.29","24,645.56","439.67M","1.63%"
"10/24/2018","24,583.42","25,172.88","25,306.23","24,533.19","496.40M","-2.41%"
"10/23/2018","25,191.43","25,038.46","25,307.70","24,768.79","436.43M","-0.50%"
"10/22/2018","25,317.41","25,492.14","25,561.34","25,236.05","314.94M","-0.50%"
"10/19/2018","25,444.34","25,421.09","25,608.71","25,350.02","350.81M","0.26%"
"10/18/2018","25,379.45","25,645.56","25,691.46","25,236.01","328.02M","-1.27%"
"10/17/2018","25,706.68","25,705.87","25,810.09","25,479.16","298.21M","-0.36%"
"10/16/2018","25,798.42","25,351.53","25,817.68","25,351.53","305.80M","2.17%"
"10/15/2018","25,250.55","25,332.46","25,482.42","25,243.88","287.32M","-0.35%"
"10/12/2018","25,339.99","25,407.63","25,467.55","25,000.83","397.51M","1.15%"
"10/11/2018","25,052.83","25,518.39","25,683.64","24,899.77","522.88M","-2.13%"
"10/10/2018","25,598.74","26,441.73","26,441.73","25,593.65","438.20M","-3.15%"
"10/09/2018","26,430.57","26,469.19","26,539.94","26,324.16","282.56M","-0.21%"
"10/08/2018","26,486.78","26,399.45","26,529.35","26,223.09","273.02M","0.15%"
"10/05/2018","26,447.05","26,632.77","26,676.16","26,301.81","267.10M","-0.68%"
"10/04/2018","26,627.48","26,784.08","26,793.82","26,471.61","289.60M","-0.75%"
"10/03/2018","26,828.39","26,833.47","26,951.81","26,789.08","280.13M","0.20%"
"10/02/2018","26,773.94","26,648.91","26,824.78","26,627.66","258.29M","0.46%"
"10/01/2018","26,651.21","26,598.36","26,737.98","26,596.05","238.32M","0.73%"
"09/28/2018","26,458.31","26,407.66","26,515.76","26,383.57","264.03M","0.07%"
"09/27/2018","26,439.93","26,418.27","26,557.01","26,379.95","226.35M","0.21%"
"09/26/2018","26,385.28","26,536.86","26,606.09","26,349.34","262.62M","-0.40%"
"09/25/2018","26,492.21","26,601.58","26,634.85","26,475.58","234.11M","-0.26%"
"09/24/2018","26,562.05","26,705.25","26,709.94","26,548.68","254.85M","-0.68%"
